GEOID,pop_tot,pop_pov200
060170302012,1273,315
060170302022,723,153
060170303012,1274,744
060170303022,833,323
060170304021,809,364
060170304024,1207,466
060170304041,887,301
060170305021,569,54
060170305024,519,49
060170305043,679,51
060170305072,636,37
060170306012,1134,97
060170306031,977,197
060170306061,2169,885
060170307011,2065,280
060170307061,2057,229
060170307064,1459,72
060170307093,1292,49
060170307103,1482,231
060170307113,2749,622
060170308092,1579,440
060170308103,1701,611
060170308122,2406,164
060170309012,1706,390
060170309023,1151,143
060170310003,2773,506
060170311002,1104,435
060170311003,1807,257
060170312002,974,280
060170313011,783,158
060170313021,463,55
060170313024,1140,523
060170314051,1704,280
060170314062,1953,241
060170314065,829,205
060170315053,535,71
060170316011,630,204
060170316021,1190,300
060170318001,1359,76
060170318004,1004,33
060170320021,138,35
060170316012,521,194
060170316013,368,97
060170316022,905,537
060170317001,3374,159
060170318002,2340,253
060170318003,1951,184
060170319001,86,13
060170320011,725,216
060170320022,108,13
060179900000,0,0
060170302011,633,170
060170302013,917,317
060170302021,1044,162
060170302023,459,337
060170303011,944,361
060170303013,766,275
060170303021,537,162
060170303023,670,174
060170303024,644,205
060170304022,896,283
060170304023,549,134
060170304025,777,154
060170304031,491,146
060170304032,325,45
060170304033,553,45
060170304042,703,111
060170304043,646,237
060170305022,433,41
060170305023,1165,219
060170305041,1542,209
060170305042,446,162
060170305061,969,131
060170305071,384,69
060170305073,402,84
060170306011,726,40
060170306013,1856,161
060170306014,1304,193
060170306032,1130,217
060170306033,1754,591
060170306034,99,15
060170306041,886,440
060170306051,1423,628
060170306052,758,315
060170306062,1108,276
060170306063,1274,356
060170307012,2604,324
060170307013,1112,334
060170307062,717,49
060170307063,1632,276
060170307091,1457,76
060170307092,2145,117
060170307101,2695,81
060170307102,1451,248
060170307111,1489,203
060170307112,2083,253
060170307121,680,18
060170307122,1098,0
060170307123,2675,280
060170308011,3071,244
060170308012,1737,57
060170308041,1681,700
060170308042,750,83
060170308043,2824,158
060170308044,1568,347
060170308071,1771,216
060170308072,1798,160
060170308081,1727,225
060170308082,1279,23
060170308083,1402,159
060170308084,1408,125
060170308091,1039,84
060170308101,1156,611
060170308102,884,30
060170308111,1733,356
060170308121,1785,214
060170308123,1843,560
060170309011,1990,179
060170309021,2099,122
060170309022,1406,220
060170310001,675,100
060170310002,1466,312
060170310004,899,153
060170311001,1728,366
060170311004,1106,451
060170312001,1784,350
060170312003,1482,280
060170312004,494,125
060170313012,1135,154
060170313013,1614,304
060170313022,2110,1097
060170313023,766,461
060170314041,1515,281
060170314042,667,114
060170314052,623,140
060170314061,629,111
060170314063,796,213
060170314064,1127,190
060170314071,2038,871
060170314081,749,43
060170314082,1147,91
060170314091,791,303
060170314092,1054,175
060170314093,752,294
060170315031,746,26
060170315032,1564,241
060170315041,1504,442
