GEOID,pop_tot,pop_white_nh,pop_afr_am_nh,pop_asian_nh,pop_hisp,pop_other_nh
060170302012,1288,847,3,67,341,30
060170302022,723,206,0,69,437,11
060170303012,1307,727,0,6,545,29
060170303022,833,645,28,0,76,84
060170304021,816,613,44,0,71,88
060170304024,1226,702,0,0,524,0
060170304041,887,749,0,36,67,35
060170305021,569,449,0,0,55,65
060170305024,524,446,15,0,32,31
060170305043,686,628,1,0,53,4
060170305072,636,541,0,0,38,57
060170306012,1134,987,0,12,36,99
060170306031,1015,879,1,68,67,0
060170306061,2169,1904,0,0,240,25
060170307011,2065,1569,0,80,220,196
060170307061,2057,1347,78,243,168,221
060170307064,1489,1182,38,35,99,135
060170307093,1292,858,0,178,226,30
060170307103,1482,1149,31,216,60,26
060170307113,2749,1795,167,527,60,200
060170308092,1594,1228,6,77,236,47
060170308103,1701,1440,0,70,158,33
060170308122,2406,2182,0,0,224,0
060170309012,1706,1453,0,14,181,58
060170309023,1181,960,23,25,127,46
060170310003,2850,2036,0,149,591,74
060170311002,1120,1032,7,11,43,27
060170311003,1813,1529,6,15,238,25
060170312002,1037,917,13,22,44,41
060170313011,797,703,0,57,28,9
060170313021,463,461,0,0,2,0
060170313024,1140,927,27,0,159,27
060170314051,1704,1520,7,3,119,55
060170314062,1953,1684,0,96,38,135
060170314065,867,821,0,0,28,18
060170315053,544,451,4,15,42,32
060170316011,630,245,0,0,385,0
060170316021,1197,467,3,557,114,56
060170318001,1359,1085,23,135,55,61
060170318004,1004,715,0,157,39,93
060170320021,142,72,0,1,69,0
060170316012,521,102,0,118,275,26
060170316013,368,219,0,0,149,0
060170316022,905,571,1,0,333,0
060170317001,3377,2150,27,662,157,381
060170318002,2376,1471,63,515,161,166
060170318003,1951,1086,0,405,178,282
060170319001,86,79,0,4,3,0
060170320011,755,646,0,12,0,97
060170320022,126,100,11,0,15,0
060179900000,0,0,0,0,0,0
060170302011,774,448,0,0,277,49
060170302013,917,301,0,48,528,40
060170302021,1044,548,0,78,418,0
060170302023,459,223,0,0,236,0
060170303011,944,416,39,20,469,0
060170303013,766,604,0,38,85,39
060170303021,537,395,8,63,71,0
060170303023,670,613,0,0,57,0
060170303024,644,471,0,0,173,0
060170304022,951,544,11,131,265,0
060170304023,549,336,0,52,25,136
060170304025,777,571,0,0,166,40
060170304031,491,439,0,52,0,0
060170304032,325,325,0,0,0,0
060170304033,553,521,0,32,0,0
060170304042,711,598,0,0,88,25
060170304043,646,381,21,24,178,42
060170305022,433,279,0,0,154,0
060170305023,1170,981,3,29,114,43
060170305041,1542,1288,0,7,93,154
060170305042,446,343,0,67,29,7
060170305061,969,905,0,0,32,32
060170305071,394,361,0,0,22,11
060170305073,402,279,9,0,114,0
060170306011,726,613,7,0,23,83
060170306013,1856,1838,0,0,18,0
060170306014,1304,1106,0,0,122,76
060170306032,1130,892,34,6,155,43
060170306033,1754,1567,13,105,45,24
060170306034,99,66,0,0,1,32
060170306041,886,585,0,0,299,2
060170306051,1423,1223,0,25,160,15
060170306052,758,733,0,0,25,0
060170306062,1219,1022,28,8,113,48
060170306063,1293,1076,0,0,217,0
060170307012,2604,2077,0,328,156,43
060170307013,1112,1002,0,0,53,57
060170307062,717,610,16,12,51,28
060170307063,1632,1037,0,174,368,53
060170307091,1457,1210,23,78,123,23
060170307092,2145,1816,8,143,56,122
060170307101,2695,1902,20,167,355,251
060170307102,1451,963,23,220,97,148
060170307111,1489,1259,0,128,15,87
060170307112,2083,1691,18,20,343,11
060170307121,680,673,0,0,7,0
060170307122,1098,700,164,15,39,180
060170307123,2675,1493,0,652,137,393
060170308011,3071,2392,11,128,367,173
060170308012,1743,1026,3,27,483,204
060170308041,1681,1174,20,86,401,0
060170308042,750,750,0,0,0,0
060170308043,2864,2335,10,20,448,51
060170308044,1568,1306,19,26,203,14
060170308071,1779,1530,28,74,111,36
060170308072,1798,1436,12,96,196,58
060170308081,1727,925,1,0,722,79
060170308082,1279,1053,21,115,52,38
060170308083,1402,1186,25,28,121,42
060170308084,1408,1308,9,29,27,35
060170308091,1039,858,15,12,123,31
060170308101,1187,607,10,0,570,0
060170308102,884,627,33,37,153,34
060170308111,1733,1242,0,156,312,23
060170308121,1785,1454,0,68,168,95
060170308123,1903,1424,0,35,330,114
060170309011,1990,1767,0,16,68,139
060170309021,2099,1643,2,0,321,133
060170309022,1406,1318,0,13,42,33
060170310001,675,471,0,0,147,57
060170310002,1466,1329,0,30,91,16
060170310004,899,857,0,0,23,19
060170311001,1728,1234,0,0,464,30
060170311004,1106,772,0,0,301,33
060170312001,1784,1592,0,12,180,0
060170312003,1750,1226,25,26,421,52
060170312004,707,529,44,19,105,10
060170313012,1135,969,0,17,81,68
060170313013,1614,1375,1,1,156,81
060170313022,2110,2010,0,43,57,0
060170313023,766,553,10,0,203,0
060170314041,1528,1327,31,3,117,50
060170314042,674,634,5,5,2,28
060170314052,623,506,0,25,71,21
060170314061,629,582,0,2,6,39
060170314063,796,746,0,0,22,28
060170314064,1127,936,0,11,159,21
060170314071,2050,1834,0,0,87,129
060170314081,749,602,0,0,130,17
060170314082,1147,676,0,92,368,11
060170314091,791,575,7,0,44,165
060170314092,1054,1034,0,0,1,19
060170314093,752,635,0,0,56,61
060170315031,746,735,0,3,8,0
060170315032,1564,1321,0,100,112,31
060170315041,1519,1088,0,74,315,42
060170315042,904,892,0,12,0,0
060170315043,1316,870,25,0,365,56
060170315044,2869,1544,0,130,1063,132
060170315051,934,880,0,0,0,54
060170315052,1138,1094,0,0,44,0
060170315061,1717,1564,0,63,78,12
060170315062,862,667,0,10,100,85
060610201042,348,270,55,0,23,0
060610201052,1064,825,12,68,39,120
060610201062,600,542,0,23,0,35
060610201073,417,169,0,0,248,0
060610202003,318,318,0,0,0,0
060610203002,1954,1499,0,3,303,149
060610204012,632,363,8,11,234,16
060610205011,831,530,0,94,188,19
060610205021,2243,2019,7,42,137,38
060610206011,1320,1069,5,74,144,28
060610206014,1514,1246,21,167,80,0
060610206043,485,327,2,125,5,26
060610206051,1583,1145,0,259,162,17
060610207113,720,419,19,42,135,105
060610207123,1198,1079,0,54,65,0
060610207141,1845,1293,27,179,282,64
060610207151,1391,1133,0,124,134,0
060610207172,3694,1931,163,818,647,135
060610208053,1216,668,70,197,268,13
060610209011,984,422,0,0,534,28
060610209082,1652,952,0,193,267,240
060610210031,1276,1104,19,0,153,0
060610210034,1272,768,106,11,188,199
060610210341,2380,1605,0,443,292,40
060610210371,2301,1534,4,449,204,110
060610210383,1358,731,75,219,183,150
060610210392,607,574,0,26,0,7
060610210402,1459,1296,24,78,15,46
060610210432,2113,1687,0,194,109,123
060610211034,1256,913,8,0,77,258
060610211081,278,271,0,0,7,0
060610211092,2020,1358,136,132,273,121
060610211221,2154,1640,31,214,142,127
060610211232,1618,1248,90,76,144,60
060610211281,1282,928,37,54,150,113
060610211292,1200,726,0,131,315,28
060610211311,1588,1454,13,15,64,42
060610212031,3110,2332,24,54,428,272
060610212041,1866,1485,0,12,325,44
060610213042,735,656,1,0,77,1
060610213231,2946,1692,11,348,608,287
060610213234,4857,2039,137,1471,672,538
060610213243,1725,1412,60,116,89,48
060610213252,2752,792,114,1292,374,180
060610213262,1571,1076,0,351,71,73
060610214035,1592,1182,0,0,392,18
060610215013,1583,1134,0,0,351,98
060610215022,1492,1062,0,131,230,69
060610216033,1049,949,0,5,32,63
060610218011,1555,1193,0,35,269,58
060610218014,891,882,3,0,6,0
060610218022,982,821,2,6,146,7
060610218025,1683,1546,0,0,93,44
060610219021,1715,1563,0,6,72,74
060610220021,922,773,0,0,22,127
060610220024,1979,1141,0,12,640,186
060610220131,951,888,5,35,10,13
060610220141,384,362,0,0,22,0
060610221001,722,640,0,39,0,43
060610222002,738,676,0,3,40,19
060610231001,1798,1269,0,140,244,145
060610231003,3646,2444,13,778,315,96
060610233001,2332,1493,99,140,408,192
060610234002,3071,2430,17,167,355,102
060610235012,619,512,0,81,15,11
060610235023,89,0,0,0,14,75
060610236002,1559,1329,0,102,128,0
060610237002,1445,1375,0,53,17,0
060610239001,1429,813,5,48,482,81
060619900000,0,0,0,0,0,0
060610213282,1978,903,25,810,152,88
060610211031,1236,779,0,131,156,170
060610211032,639,395,0,0,182,62
060610211033,1095,751,32,0,285,27
060610211061,860,651,16,33,69,91
060610211062,1543,1185,2,105,221,30
060610211082,2704,1838,32,92,590,152
060610211091,3090,2252,60,299,367,112
060610211093,1274,803,0,378,48,45
060610211222,1568,1287,11,64,108,98
060610211231,2499,2002,32,153,150,162
060610211233,1102,950,37,11,104,0
060610211234,1827,1610,0,44,71,102
060610211282,1924,1291,34,122,336,141
060610211291,2196,1720,112,67,235,62
060610211301,709,495,0,55,136,23
060610211302,1537,796,0,428,170,143
060610211312,1918,1135,16,77,448,242
060610211313,1467,979,6,225,238,19
060610212032,2041,1578,86,94,210,73
060610212033,2483,2028,0,19,311,125
060610212042,715,559,0,7,75,74
060610213041,1433,1284,0,15,134,0
060610213043,1447,1275,100,0,53,19
060610213044,1971,1604,0,223,144,0
060610213232,1179,985,0,0,194,0
060610213233,458,279,13,0,151,15
060610213241,1468,1062,0,280,77,49
060610213242,2721,1863,35,416,404,3
060610213251,2045,1828,37,0,180,0
060610213253,3065,1491,0,926,566,82
060610213261,648,390,144,18,58,38
060610213271,742,500,15,51,169,7
060610213272,2108,1187,14,598,234,75
060610213273,417,270,0,68,79,0
060610213274,802,435,0,69,60,238
060610213281,818,722,0,0,61,35
060610213283,3157,1721,27,640,769,0
060610213284,1380,469,0,598,262,51
060610213285,195,195,0,0,0,0
060610214011,1336,830,0,15,390,101
060610214012,1953,1109,101,0,704,39
060610214031,1088,196,0,0,696,196
060610214032,1194,574,0,0,620,0
060610214033,1003,413,0,21,465,104
060610214034,988,536,20,115,215,102
060610215011,507,471,0,28,8,0
060610215012,1061,839,0,41,172,9
060610215014,2342,1863,43,163,180,93
060610215021,2852,2096,30,111,284,331
060610216031,1886,1613,5,57,149,62
060610216032,1850,724,0,51,1046,29
060610216041,1582,1332,18,7,125,100
060610216042,2287,1993,2,57,235,0
060610218012,2095,1984,0,11,81,19
060610218013,464,435,0,0,29,0
060610218021,1015,863,12,44,36,60
060610218023,977,818,11,4,120,24
060610218024,1605,800,31,12,718,44
060610219011,1667,1143,46,0,290,188
060610219012,1806,1724,0,13,23,46
060610219022,2642,2267,0,41,268,66
060610219023,686,514,39,0,52,81
060610220022,2411,2088,55,24,235,9
060610220023,1453,1087,65,0,220,81
060610220111,411,324,0,21,66,0
060610220112,1199,1139,0,8,18,34
060610220132,1079,1010,0,28,29,12
060610220133,1127,1016,0,0,87,24
060610220142,655,582,0,0,52,21
060610220143,330,307,0,0,23,0
060610221002,93,93,0,0,0,0
060610222001,130,110,0,0,20,0
060610223001,123,123,0,0,0,0
060610223002,333,311,0,22,0,0
060610224001,2102,1427,48,283,227,117
060610224002,2488,1524,74,226,394,270
060610225001,2279,1337,30,501,295,116
060610225002,2530,1190,219,625,283,213
060610226001,2821,1996,127,114,391,193
060610226002,0,0,0,0,0,0
060610226003,2154,1283,58,261,274,278
060610228001,2248,1370,4,283,466,125
060610228002,2601,1421,137,682,316,45
060610229001,1799,1113,28,114,413,131
060610229002,1805,985,55,297,374,94
060610229003,1846,1028,0,526,204,88
060610230001,2000,1493,109,197,144,57
060610230002,1778,940,0,318,366,154
060610231002,2927,1683,235,654,177,178
060610232001,3273,2240,27,460,430,116
