,Ag,Arterials & Suburban Corridors,Developing,Established Communities,Rural & Small Town Main Street,Rural Residential,Small-Town Established Communities,Urban core,REGION,year
WALKDESTSalljob,578.9345474457442,5337.598082715118,945.1431045548768,3208.991897400595,2121.6426564872895,469.9902509645278,1364.000856776242,64913.70256122384,3842.410877719361,2016
BIKEDESTSalljob,4181.0142256888985,58753.26895822824,6511.420258560485,37113.50649253686,8340.183800099043,4359.477547562376,7127.5982283250505,213458.71280866358,37354.0237093426,2016
AUTODESTSalljob,153980.01422463678,581272.1813926157,308544.67136297125,510067.7869832301,150264.42310102345,180455.7855386203,115470.05312773891,775596.8807292792,475047.24569611414,2016
TRANDESTSalljob,1998.2257466212661,39399.81702759176,3391.2660119608463,20656.833789609966,5562.764840706503,1608.6562455774738,3942.737865508205,163632.2877949876,22213.193547074632,2016
WALKDESTSedu,1.083223163814789,6.116137176680751,1.678553169790824,4.80606669792341,3.959830307032024,0.8749865664170643,2.8359657898456954,15.148187138222761,4.638241418756692,2016
BIKEDESTSedu,6.986049105221374,53.544251060954565,9.967731374222655,40.36021847232496,14.15156421261142,7.208632703027579,11.725412674938292,116.92795528274283,38.1860827979409,2016
AUTODESTSedu,188.78230538206236,598.96543784912,349.61498891487736,526.1547325342686,184.26041218223835,222.13334429813358,163.77232310435943,822.9540932510655,492.5529013364859,2016
TRANDESTSedu,2.8561913802833065,29.99276711295406,5.00769989247431,19.98804998958678,9.372949983492903,2.745134420959795,6.3673234849555795,67.7121830672349,19.460658420459307,2016
WALKDESTSpoi2,2.921799791489321,23.408610137958803,4.949237842391726,17.393537487060424,14.1210127104655,2.691918431420622,9.683589238916499,84.08485051841487,17.147198276435414,2016
BIKEDESTSpoi2,24.681891995294162,199.25458633185085,35.42549533870593,146.64060380744067,49.18685572796302,24.794275012173646,43.011998510238044,485.22723490872085,140.100123535153,2016
AUTODESTSpoi2,141.74468919474705,686.1842636258035,276.07970203190297,552.587123726433,149.34917464509738,164.28148889728843,144.64461021519992,1297.8727816296673,520.3276979954376,2016
TRANDESTSpoi2,9.810816061061107,122.29326086755307,17.3879889924732,78.94860762493549,34.94070782436448,9.399060738864089,25.241365850741076,319.4746743209719,77.93892290099564,2016
TOT_COLLISNS_fwy,1430.0,2637.0,281.0,6466.0,94.0,511.0,438.0,1186.0,13062.0,2016
TOT_COLLISNS_PER_100MVMT_fwy,17.337775328164657,39.85566577368779,16.609427611094905,33.5562240969377,42.99753498425364,16.709744489111866,35.62301560537371,70.11191675469324,30.875219270456594,2016
FATAL_COLLISNS_fwy,68.0,41.0,4.0,120.0,0.0,20.0,17.0,17.0,289.0,2016
FATAL_COLLISNS_PER_100MVMT_fwy,0.824453651968669,0.6196747427839209,0.23643313325402,0.6227570200483334,0.0,0.6540017412568244,1.3826284595692993,1.004976884342146,0.6831219085256434,2016
PCT_FATAL_COLLISNS_fwy,0.04755244755244755,0.015547971179370497,0.014234875444839857,0.018558614290133002,0.0,0.03913894324853229,0.03881278538812786,0.01433389544688027,0.022125248813351706,2016
BIKEPED_COLLISNS_fwy,19.0,80.0,5.0,125.0,7.0,5.0,12.0,16.0,270.0,2016
BIKEPED_COLLISNS_PER_CLMILE_fwy,0.012635568943188997,0.2533091155444095,0.02318567268281977,0.07246589623391389,0.19746166453464462,0.007359593286270854,0.0881307459223328,0.3955616665957592,0.05780982789846035,2016
PCT_BIKEPED_COLLISNS_fwy,0.013286713286713287,0.030337504740235114,0.017793594306049824,0.01933188988555521,0.07446808510638298,0.009784735812133072,0.0273972602739726,0.013490725126475547,0.02067064768029398,2016
TOT_COLLISNS_nonfwy,4420.0,9229.0,1124.0,25325.0,443.0,2683.0,1158.0,1990.0,46552.0,2016
TOT_COLLISNS_PER_100MVMT_nonfwy,70.96013608763022,138.74703581139684,73.96138731153675,107.20302027457547,98.47610129149766,84.35839547925781,94.8590815314511,148.0309671867338,104.56923927391442,2016
FATAL_COLLISNS_nonfwy,211.0,153.0,35.0,390.0,8.0,100.0,33.0,10.0,941.0,2016
FATAL_COLLISNS_PER_100MVMT_nonfwy,3.3874635100656056,2.3001729850627064,2.3030681102346855,1.6509053467752983,1.778349458988671,3.1441817174527693,2.7032380747304714,0.7438742069685116,2.1137578225802,2016
PCT_FATAL_COLLISNS_nonfwy,0.04773755656108598,0.01657817748401777,0.031138790035587186,0.015399802566633761,0.018058690744920995,0.03727171077152441,0.02849740932642487,0.005025125628140704,0.020213954287678294,2016
BIKEPED_COLLISNS_nonfwy,133.0,1788.0,94.0,3787.0,108.0,82.0,183.0,558.0,6754.0,2016
BIKEPED_COLLISNS_PER_CLMILE_nonfwy,0.08844898260232298,5.661458732417552,0.43589064643701164,2.1954267923026554,3.0465513956773744,0.120697329894842,1.3439938753155753,13.795213122527102,1.4461021393563007,2016
PCT_BIKEPED_COLLISNS_nonfwy,0.030090497737556562,0.19373713295048217,0.08362989323843416,0.1495360315893386,0.24379232505643342,0.03056280283265002,0.15803108808290156,0.2804020100502513,0.14508506616257089,2016
mix_index,0.44446908415891523,0.42466592552602606,0.4871694649051435,0.7448253620001775,0.29230477690197315,0.35447257463142035,0.6262206970088009,0.22767566428252098,0.9999891200962329,2016
Intersxn_34_per_acre,0.0012635001784751505,0.15391741783345195,0.03865816758772489,0.12974685287221296,0.10226242859442675,0.011158853557430104,0.06693121297105374,0.3191348889487124,0.016717749094960436,2016
pct_roadmi_bikeways,0.008099191616603572,0.08346647051733436,0.0427659424350519,0.07058134932320446,0.10724959975106525,0.005047653404519847,0.037536850917088437,0.10589950080435154,0.04080471892003982,2016
TrnVehStop_Acre,0.00011381943756511686,1.1002224703993546,0.00811198347102065,0.30569989416408294,1.6313842422286045,0.0012901011747605386,0.054286285878218196,5.068312098528429,0.04215632210358084,2016
Pct_PopEJArea,0.24178872418240605,0.6769243115151858,0.24228819695872555,0.3679790090112011,0.8339279922153746,0.05137670556252925,0.34730153421679694,0.5619245097350108,0.3746385676273582,2016
EMPIND_jobshare,0.4574722217703232,0.09335777108616199,0.22868241326550168,0.16420091105022622,0.023374670401350904,0.15199224319501192,0.13438717051823976,0.016589955364791263,0.13021497769288948,2016
DU_TOT_NetPclAcre,0.007873563103240241,2.9540914409409633,0.044180317981289324,2.2921260183022105,0.902785049202046,0.10716694430838138,0.812896033109884,11.57784532965269,0.18979411874096605,2016
EMPTOT_NetPclAcre,0.004621128694124761,7.2950228161809525,0.018562933847445565,1.8110844872821283,5.616921752527066,0.02267014356785282,0.6303149158287834,64.91887350558464,0.19527333882297354,2016
mix_index,0.46000420823821486,0.468783416884592,0.5103271660601649,0.7395300212146015,0.39676363663194636,0.3824508127814134,0.6582471312842739,0.35973431030552794,0.9308534957530481,2040
